Distrito,TPM,TPR,TA,PPM,PPR,PA,TTPM,TTPR,TTA
ACP - LISBOA,6277,6104,"72,00%",6373,6201,"77,36%",12650,12305,"74,70%"
ACP - PORTO,16464,16012,"75,67%",19511,19252,"65,56%",35975,35264,"70,15%"
AHBVT - Fund�o,1516,1494,"75,10%",2138,2107,"58,71%",3654,3601,"65,51%"
AHBVT - Mirandela,2761,2698,"70,87%",3060,2952,"71,21%",5821,5650,"71,04%"
AHBVT - Portim�o,5464,5254,"67,11%",5877,5780,"63,81%",11341,11034,"65,38%"
AHBVT - T�bua,5967,5787,"74,34%",6261,6129,"75,74%",12228,11916,"75,06%"
ANIECA _Albergaria a Velha,11378,11026,"70,69%",13054,12449,"70,33%",24432,23475,"70,50%"
ANIECA_Barreiro,10317,10030,"69,63%",10467,10296,"69,51%",20784,20326,"69,57%"
ANIECA_Linda a Velha,13331,12922,"68,57%",12303,12118,"71,59%",25634,25040,"70,03%"
ANIECA_Penafiel,9479,9265,"72,44%",12271,12098,"61,44%",21750,21363,"66,21%"
ANIECA_Porto de M�s,9822,9519,"71,12%",11207,11043,"69,63%",21029,20562,"70,32%"
ANIECA_Vila Verde,6575,6427,"72,85%",7673,7554,"66,96%",14248,13981,"69,67%"
APEC - Lisboa,26798,25785,"70,42%",27576,27247,"64,91%",54374,53032,"67,59%"
IMT Aveiro,3704,3507,"73,97%",3678,3645,"70,51%",7382,7152,"72,20%"
IMT Beja,2071,2015,"67,25%",2370,2299,"74,77%",4441,4314,"71,26%"
IMT Braga,9107,8737,"72,65%",9844,9737,"83,65%",18951,18474,"78,45%"
IMT Bragan�a,681,647,"68,01%",1036,989,"67,95%",1717,1636,"67,97%"
IMT Castelo Branco,1128,1053,"75,78%",1732,1652,"55,39%",2860,2705,"63,33%"
IMT Coimbra,3144,3006,"74,55%",3648,3570,"71,76%",6792,6576,"73,04%"
IMT �vora,1798,1755,"72,54%",2183,2141,"76,93%",3981,3896,"74,95%"
IMT Faro,2385,2143,"65,61%",2257,2214,"63,87%",4642,4357,"64,72%"
IMT Guarda,987,954,"72,54%",1386,1347,"57,31%",2373,2301,"63,62%"
IMT Leiria,1472,1428,"71,22%",1579,1568,"82,33%",3051,2996,"77,04%"
IMT Lisboa,1468,1298,"65,79%",1109,1072,"77,15%",2577,2370,"70,93%"
IMT Lisboa - Sobral de Monte Agra�o,849,819,"74,48%",850,845,"89,59%",1699,1664,"82,15%"
IMT Portalegre,1709,1676,"67,06%",1758,1683,"86,93%",3467,3359,"77,02%"
IMT Porto,6169,5801,"70,75%",5061,4960,"72,24%",11230,10761,"71,43%"
IMT Santar�m,3428,3255,"70,66%",3485,3426,"76,85%",6913,6681,"73,84%"
IMT Set�bal,2879,2741,"66,47%",2470,2438,"72,89%",5349,5179,"69,49%"
IMT Viana do Castelo,3991,3883,"71,08%",3812,3759,"86,83%",7803,7642,"78,83%"
IMT Vila Real,1807,1708,"72,48%",2038,1971,"69,51%",3845,3679,"70,89%"
IMT Vila Real-Chaves,909,884,"71,15%",990,943,"74,76%",1899,1827,"73,02%"
IMT Viseu,2048,1980,"74,70%",2994,2925,"53,88%",5042,4905,"62,28%"
Total,177883,171613,"71,33%",192051,188410,"69,64%",369934,360023,"70,45%"
