Idade,PMF,PMM,PMT,PRF,PRM,PRT,AF,AM,AT
16,619,2402,3021,597,2348,2945,83.25%,88.33%,70.42%
17,519,1748,2267,511,1708,2219,80.04%,85.66%,65.93%
18,23840,28593,52433,23513,28213,51726,68.51%,80.05%,43.66%
19,17717,15189,32906,17443,14917,32360,64.17%,73.62%,33.94%
20,9201,8074,17275,9032,7913,16945,62.02%,71.92%,33.59%
21,5832,5656,11488,5725,5551,11276,60.93%,73.72%,36.29%
22,4536,4108,8644,4452,4012,8464,58.83%,74.60%,35.36%
23,3418,3086,6504,3371,3008,6379,58.14%,75.20%,35.46%
24,2730,3129,5859,2681,3045,5726,58.56%,76.42%,40.64%
25,2187,2623,4810,2139,2565,4704,57.18%,76.69%,41.82%
26,1867,2198,4065,1836,2148,3984,56.21%,78.91%,42.55%
27,1553,1966,3519,1510,1920,3430,55.50%,77.50%,43.38%
28,1401,1703,3104,1373,1673,3046,53.90%,80.10%,43.99%
29,1231,1527,2758,1209,1491,2700,52.69%,82.76%,45.70%
30,1118,1407,2525,1091,1376,2467,56.65%,83.94%,46.82%
31,993,1306,2299,967,1269,2236,54.81%,83.92%,47.63%
32,1067,1274,2341,1039,1241,2280,54.28%,83.32%,45.35%
33,982,1170,2152,963,1143,2106,51.92%,84.69%,45.96%
34,859,1070,1929,841,1040,1881,53.03%,86.44%,47.79%
35,776,997,1773,759,973,1732,52.04%,82.22%,46.19%
36,710,897,1607,696,872,1568,45.11%,87.16%,48.47%
37,689,881,1570,672,853,1525,48.36%,84.88%,47.48%
38,578,845,1423,564,823,1387,47.52%,81.65%,48.45%
39,601,845,1446,591,822,1413,47.72%,84.06%,48.90%
40,597,723,1320,583,701,1284,44.94%,82.45%,45.02%
41,529,633,1162,510,616,1126,45.29%,81.98%,44.85%
42,468,639,1107,456,626,1082,41.67%,83.23%,48.15%
43,396,590,986,389,574,963,43.19%,81.88%,48.81%
44,425,561,986,411,544,955,40.39%,81.62%,46.49%
45,339,501,840,332,484,816,44.28%,80.17%,47.55%
46,383,419,802,372,405,777,34.95%,79.26%,41.31%
47,293,377,670,290,368,658,35.86%,80.98%,45.29%
48,322,360,682,310,340,650,33.55%,79.71%,41.69%
49,284,322,606,275,313,588,35.64%,77.00%,40.99%
50,291,327,618,284,312,596,32.04%,75.00%,39.26%
51,261,240,501,253,236,489,30.83%,80.51%,38.85%
52,291,240,531,281,235,516,31.32%,71.49%,32.56%
53,239,201,440,228,198,426,39.47%,74.24%,34.51%
54,229,185,414,219,180,399,33.79%,80.56%,36.34%
55,239,144,383,236,138,374,24.15%,81.16%,29.95%
56,177,136,313,173,133,306,32.37%,81.20%,35.29%
57,153,116,269,151,112,263,30.46%,71.43%,30.42%
58,204,83,287,203,82,285,24.14%,81.71%,23.51%
59,120,84,204,114,83,197,27.19%,72.29%,30.46%
60,119,74,193,115,71,186,28.70%,70.42%,26.88%
61,110,61,171,104,59,163,24.04%,66.10%,23.93%
62,93,41,134,89,39,128,21.35%,76.92%,23.44%
63,77,43,120,71,43,114,15.49%,74.42%,28.07%
64,82,35,117,80,35,115,21.25%,68.57%,20.87%
65,65,35,100,59,31,90,25.42%,80.65%,27.78%
66,44,20,64,44,19,63,36.36%,78.95%,23.81%
67,27,27,29.63%,10,10,80.00%,37,37,21.62%
68,37,36,16.67%,17,17,70.59%,54,53,22.64%
69,30,29,20.69%,20,18,72.22%,50,47,27.66%
70,13,13,30.77%,12,12,75.00%,25,25,36.00%
71,15,15,13.33%,16,15,86.67%,31,30,43.33%
72,13,12,16.67%,11,10,50.00%,24,22,22.73%
73,5,5,20.00%,12,12,50.00%,17,17,35.29%
74,0,0,0%,6,4,75.00%,6,4,75.00%
75,8,8,12.50%,6,6,83.33%,14,14,35.71%
76,4,4,25.00%,7,6,66.67%,11,10,40.00%
77,12,12,16.67%,4,4,25.00%,16,16,6.25%
78,12,11,18.18%,2,2,50.00%,14,13,7.69%
79,0,0,0%,5,5,60.00%,5,5,60.00%
80,0,0,0%,1,1,100.00%,1,1,100.00%
81,3,3,33.33%,2,2,100.00%,5,5,40.00%
82,0,0,0%,1,1,100.00%,1,1,100.00%
83,0,0,0%,1,1,100.00%,1,1,100.00%
87,0,0,0%,1,1,100.00%,1,1,100.00%
TotalGeral,92033,90382,60.40%,100018,98028,78.15%,192051,188410,4.66%
