1,Escola De Condução Automovel Club De Portugal,332,318,"80,50%",421,411,"65,21%",753,729,"71,88%"
2,Escola De Condução Acp,299,293,"83,62%",353,350,"67,14%",652,643,"74,65%"
5,Escola De Condução «A Popular»,54,53,"83,02%",58,58,"67,24%",112,111,"74,77%"
6,Escola De Condução Automoveis Monumental,299,287,"82,58%",268,267,"68,54%",567,554,"75,81%"
7,Escola De Condução A Desportiva (Boavista),140,130,"81,54%",179,175,"63,43%",319,305,"71,15%"
8,Escola De Condução Vitória,207,190,"46,84%",195,193,"53,37%",402,383,"50,13%"
9,Escola De Condução Enal,12,12,"75,00%",13,12,"58,33%",25,24,"66,67%"
10,Escola De Condução Lusitânia De Automobilsmo,113,110,"86,36%",143,141,"63,83%",256,251,"73,71%"
11,Escola De Condução Rodaqui,10,9,"77,78%",29,29,"41,38%",39,38,"50,00%"
12,Escola De Condução Bastos,144,140,"65,71%",189,186,"59,14%",333,326,"61,96%"
13,Escola De Condução Morarte,153,142,"76,06%",221,214,"50,47%",374,356,"60,67%"
14,Escola De Condução Carsil,177,174,"84,48%",253,250,"74,80%",430,424,"78,77%"
15,Escola De Condução Estrela Torriense,187,183,"69,40%",189,184,"76,09%",376,367,"72,75%"
16,Escola De Condução Moderna,1539,1480,"71,35%",1930,1915,"54,67%",3469,3395,"61,94%"
17,Escola De Condução Hugo Vieira (Porto),568,545,"82,02%",770,758,"71,24%",1338,1303,"75,75%"
19,Escola De Condução E P Campos,156,152,"78,95%",170,167,"67,66%",326,319,"73,04%"
20,Escola De Condução Ouriense,195,188,"80,32%",264,261,"81,99%",459,449,"81,29%"
21,Escola De Condução São Cristóvão,385,366,"79,23%",373,368,"73,37%",758,734,"76,29%"
22,Escola De Condução M M Ouressa,155,148,"68,24%",150,142,"78,87%",305,290,"73,45%"
23,Escola De Condução Ribatejana,70,66,"69,70%",56,54,"70,37%",126,120,"70,00%"
24,Escola De Condução Dokas,1042,1014,"77,42%",1102,1088,"74,45%",2144,2102,"75,88%"
25,Escola De Condução M Silva,141,140,"67,86%",138,135,"77,78%",279,275,"72,73%"
27,Escola De Condução Alkântara,70,68,"73,53%",55,53,"64,15%",125,121,"69,42%"
28,Escola De Condução De Benfica,179,167,"64,67%",110,110,"66,36%",289,277,"65,34%"
29,Escola De Condução Auto Águia,257,236,"63,56%",214,212,"60,85%",471,448,"62,28%"
30,Escola De Condução Técnica Automóvel Silvino,99,80,"46,25%",49,47,"72,34%",148,127,"55,91%"
31,Escola De Condução A Portuguesa,213,202,"79,21%",223,219,"77,17%",436,421,"78,15%"
32,Escola De Condução Idal,410,393,"77,35%",437,434,"68,66%",847,827,"72,79%"
33,Escola De Condução A Império,35,32,"62,50%",38,34,"52,94%",73,66,"57,58%"
34,Escola De Condução Destaque,160,155,"68,39%",142,141,"72,34%",302,296,"70,27%"
35,Escola De Condução Neuropa,298,285,"83,16%",331,323,"77,40%",629,608,"80,10%"
36,Escola De Condução Pincor,150,146,"73,29%",154,151,"64,90%",304,297,"69,02%"
38,Escola De Condução Campolide,191,183,"67,21%",110,110,"63,64%",301,293,"65,87%"
39,Escola De Condução Torrejana,141,132,"77,27%",140,138,"83,33%",281,270,"80,37%"
40,Escola De Condução Automóvel Lisbonense,425,405,"75,06%",363,353,"75,35%",788,758,"75,20%"
41,Escola De Condução Telheiras,241,226,"73,01%",203,202,"64,85%",444,428,"69,16%"
42,Escola De Condução Carvalhido,158,156,"73,72%",222,214,"57,01%",380,370,"64,05%"
44,Escola De Condução Saldanha,626,600,"72,17%",681,676,"58,43%",1307,1276,"64,89%"
45,Escola De Condução Gonçalves E Delgado,156,129,"78,29%",115,111,"80,18%",271,240,"79,17%"
47,Escola De Condução Moderna De Tomar,236,234,"76,92%",269,262,"74,43%",505,496,"75,60%"
48,Escola De Condução  Sintra,525,516,"65,70%",385,383,"79,37%",910,899,"71,52%"
49,Escola De Condução Boavista,401,397,"80,60%",629,628,"52,23%",1030,1025,"63,22%"
52,Escola De Condução Invicta,353,336,"71,43%",458,452,"53,76%",811,788,"61,29%"
53,Escola De Condução S Mamede,50,50,"78,00%",88,86,"67,44%",138,136,"71,32%"
55,Escola De Condução Radical,876,854,"72,37%",1085,1068,"73,41%",1961,1922,"72,94%"
56,Escola De Condução Vila Franca,561,551,"60,25%",434,426,"75,12%",995,977,"66,73%"
57,Escola De Condução França,311,293,"78,16%",381,372,"66,40%",692,665,"71,58%"
58,Escola De Condução Portuense,195,189,"69,31%",294,293,"51,88%",489,482,"58,71%"
59,Escola De Condução Ecir,243,235,"72,77%",225,223,"72,65%",468,458,"72,71%"
60,Escola De Condução Vimaranense,108,101,"77,23%",141,141,"63,12%",249,242,"69,01%"
61,Escola De Condução Central Do Sameiro,471,461,"70,28%",425,420,"77,62%",896,881,"73,78%"
62,Escola De Condução Ribeiro,162,161,"70,81%",160,157,"75,80%",322,318,"73,27%"
64,Escola De Condução Albertino,279,266,"78,57%",380,367,"66,76%",659,633,"71,72%"
67,Escola De Condução Águeda,160,158,"75,32%",216,205,"74,15%",376,363,"74,66%"
