A,9860,9587,"92,38%"
A1,5746,5619,"85,99%"
A2,4471,4322,"92,16%"
AM,68,66,"77,27%"
B,166059,162966,"66,18%"
B1,539,516,"84,88%"
BE,163,159,"93,71%"
C,6859,6696,"87,19%"
CE,5726,5522,"81,47%"
D,1686,1654,"87,73%"
D1,7,5,"100,00%"
G3,1769,1668,"97,06%"
Total Geral,202953,198780,"70,21%"
nan,nan,Provas Teóricas,nan
Categorias,Provas Marcadas,Provas Realizadas,%Aprovação
A/A1,10734,10420,"70,12%"
A/A1-x,10974,10572,"88,79%"
B - Teórica,158265,153024,"69,58%"
C (AM)- Ciclomotores,1129,1011,"71,91%"
C/C1,7137,6855,"87,25%"
D/D1,1666,1612,"90,76%"
NULL,420,375,"12,80%"
Total Geral,190325,183869,"71,45%"
