Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Distritos,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
AVEIRO,15458,14950,"68,86%",17071,16262,"69,04%",32529,31212,"68,96%"
BEJA,2079,2003,"67,55%",2235,2172,"79,65%",4314,4175,"73,84%"
BRAGA,17028,16319,"73,98%",18007,17598,"78,15%",35035,33917,"76,14%"
BRAGANÇA,3367,3231,"70,75%",3806,3684,"71,55%",7173,6915,"71,18%"
CASTELO BRANCO,1113,1077,"72,61%",1430,1391,"57,58%",2543,2468,"64,14%"
COIMBRA,9598,9284,"73,10%",12546,12181,"69,56%",22144,21465,"71,09%"
ÉVORA,1814,1749,"70,10%",1914,1847,"79,10%",3728,3596,"74,72%"
FARO,9156,8800,"65,03%",9397,9242,"62,26%",18553,18042,"63,61%"
GUARDA,3035,2919,"74,79%",3957,3784,"59,49%",6992,6703,"66,15%"
LEIRIA,11296,10933,"71,44%",13235,13035,"70,76%",24531,23968,"71,07%"
LISBOA,53080,50709,"69,64%",53120,52191,"70,08%",106200,102900,"69,86%"
PORTALEGRE,1704,1633,"69,50%",1906,1803,"88,35%",3610,3436,"79,39%"
PORTO,34983,33593,"72,83%",41138,40346,"64,32%",76121,73939,"68,19%"
SANTARÉM,690,659,"69,80%",1268,1244,"89,07%",1958,1903,"82,40%"
SETÚBAL,16054,15438,"67,75%",14875,14654,"72,40%",30929,30092,"70,01%"
VIANA DO CASTELO,4385,4236,"71,10%",4100,4034,"91,47%",8485,8270,"81,04%"
VILA REAL,3168,3031,"72,95%",3290,3200,"78,16%",6458,6231,"75,62%"
VISEU,2118,2035,"73,61%",2624,2575,"61,36%",4742,4610,"66,77%"
Total Geral,190126,182599,"70,69%",205919,201243,"70,02%",396045,383842,"70,34%"
