Unnamed: 0,F,M,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Idade,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
16,295,288,"86,81%",1350,1321,"88,04%"
17,691,669,"81,17%",2648,2582,"86,33%"
18,9473,9297,"71,35%",14356,14102,"83,08%"
19,24458,24061,"66,67%",24763,24305,"76,41%"
20,13872,13600,"62,57%",12124,11852,"71,27%"
21,7313,7167,"59,73%",6912,6747,"72,11%"
22,4988,4893,"58,96%",4958,4842,"73,46%"
23,3650,3572,"57,36%",3530,3442,"73,62%"
24,2879,2827,"56,99%",3133,3054,"76,56%"
25,2336,2286,"57,74%",3008,2924,"78,76%"
26,2059,2000,"55,55%",2645,2567,"77,95%"
27,1678,1644,"57,30%",2350,2279,"78,59%"
28,1550,1501,"55,56%",2069,2015,"81,04%"
29,1344,1318,"54,17%",1903,1850,"78,97%"
30,1259,1226,"53,26%",1616,1571,"83,45%"
31,1167,1125,"54,67%",1663,1611,"82,31%"
32,1095,1072,"52,52%",1506,1475,"83,86%"
33,953,921,"52,77%",1343,1309,"83,88%"
34,962,936,"54,59%",1281,1239,"83,45%"
35,844,814,"53,69%",1312,1279,"84,13%"
36,815,799,"48,69%",1234,1200,"84,75%"
37,877,847,"49,70%",1223,1183,"85,29%"
38,733,709,"51,76%",1145,1113,"85,35%"
39,651,633,"48,97%",1013,983,"86,57%"
40,663,642,"48,60%",925,903,"85,49%"
41,612,596,"48,32%",925,900,"82,11%"
42,632,619,"47,82%",881,861,"83,62%"
43,510,496,"51,01%",903,870,"81,15%"
44,524,503,"46,52%",833,811,"81,26%"
45,510,496,"40,52%",695,673,"82,17%"
46,473,452,"45,13%",664,647,"83,00%"
47,401,385,"40,78%",650,626,"81,95%"
48,463,450,"36,00%",576,557,"81,69%"
49,401,391,"36,32%",453,439,"84,05%"
50,330,316,"31,96%",491,475,"79,58%"
51,311,296,"37,84%",430,415,"80,72%"
52,339,323,"34,67%",340,332,"78,61%"
53,243,238,"31,51%",324,313,"80,19%"
54,279,274,"30,29%",301,293,"79,18%"
55,251,244,"38,11%",349,340,"75,88%"
56,294,284,"34,51%",285,271,"76,38%"
57,270,252,"33,73%",215,209,"86,12%"
58,237,229,"31,44%",165,157,"86,62%"
59,184,177,"35,03%",179,174,"82,18%"
60,177,167,"40,72%",219,213,"82,63%"
61,214,209,"51,20%",198,197,"79,70%"
62,101,97,"20,62%",108,105,"74,29%"
63,105,104,"22,12%",93,81,"76,54%"
64,70,65,"30,77%",81,77,"74,03%"
65,83,82,"32,93%",95,90,"81,11%"
66,79,74,"52,70%",105,103,"90,29%"
67,48,47,"34,04%",76,67,"77,61%"
68,45,43,"34,88%",64,60,"76,67%"
69,41,39,"25,64%",46,43,"81,40%"
70,26,25,"36,00%",53,49,"89,80%"
71,18,18,"27,78%",48,42,"71,43%"
72,9,8,"37,50%",23,23,"86,96%"
73,17,15,"20,00%",15,13,"76,92%"
74,1,0,nan,17,13,"92,31%"
75,nan,0,nan,15,13,"76,92%"
76,8,8,"12,50%",17,17,"88,24%"
77,nan,0,nan,6,6,"100,00%"
78,2,2,"0,00%",16,14,"85,71%"
79,nan,0,nan,14,12,"41,67%"
80,2,2,"0,00%",9,9,"66,67%"
81,nan,0,nan,8,6,"83,33%"
82,nan,0,nan,4,3,"100,00%"
84,nan,0,nan,1,0,nan
86,nan,0,nan,1,1,"100,00%"
87,nan,0,nan,3,2,"50,00%"
Total Geral,94915,92873,"60,28%",111004,108370,"78,37%"
