Unnamed: 0,Provas Teóricas,Provas Práticas,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Categorias,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas
A,10801,10284,"87,90%",11010,10685,"92,89%",21811
A1,8307,8050,"69,29%",6178,6031,"86,12%",14485
A2,4916,4692,"77,24%",4631,4424,"90,53%",9547
AM,56,53,"88,68%",60,59,"72,88%",116
B,156115,150006,"68,34%",165679,162387,"65,59%",321794
B1,681,644,"70,96%",592,563,"84,19%",1273
BE,nan,0,nan,227,219,"94,98%",227
C,7553,7248,"88,18%",7128,6942,"87,19%",14681
CE,nan,0,nan,5981,5743,"80,65%",5981
D,1617,1557,"89,34%",1617,1564,"87,08%",3234
D1,6,6,"100,00%",6,6,"100,00%",12
DE,nan,0,nan,3,3,"100,00%",3
G3,74,59,"52,54%",2807,2617,"95,26%",2881
Total Geral,190126,182599,"70,69%",205919,201243,"70,02%",396045
