Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Centro de Exames,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
ACP_LISBOA,11201,10398,"71,00%",10398,9811,"73,78%",21599,20209,"72,35%"
ACP_PORTO,16056,15023,"76,57%",19837,18753,"61,24%",35893,33776,"68,06%"
AHBVT_FUNDÃO,14971,13768,"69,88%",14144,13218,"66,39%",29115,26986,"68,17%"
AHBVT_MIRANDELA,29220,26782,"70,44%",26652,25248,"63,54%",55872,52030,"67,09%"
AHBVT_PORTIMÃO,743,540,"60,37%",680,584,"63,36%",1423,1124,"61,92%"
AHBVT_TÁBUA,1101,988,"70,75%",881,757,"87,58%",1982,1745,"78,05%"
ANIECA_ALBERGARIA-A-VELHA,941,861,"72,24%",788,721,"78,64%",1729,1582,"75,16%"
ANIECA_BARREIRO,11055,10323,"70,32%",12420,11317,"68,00%",23475,21640,"69,11%"
ANIECA_BRAGA,2670,2542,"74,15%",3013,2875,"67,17%",5683,5417,"70,44%"
ANIECA_LINDA-A-VELHA,10264,9746,"72,71%",11497,10901,"64,82%",21761,20647,"68,54%"
ANIECA_PENAFIEL,7183,6398,"66,76%",7181,6530,"60,26%",14364,12928,"63,47%"
ANIECA_PORTO DE MÓS,10323,9724,"71,91%",11355,10703,"68,24%",21678,20427,"69,99%"
APEC_LISBOA,6900,6454,"75,15%",8144,7702,"73,70%",15044,14156,"74,36%"
IMT_Aveiro,13020,12259,"76,23%",12081,11515,"73,78%",25101,23774,"75,04%"
IMT_Beja,15012,13996,"70,51%",12989,12378,"71,69%",28001,26374,"71,06%"
IMT_Braga,2129,1959,"77,69%",2766,2485,"59,32%",4895,4444,"67,42%"
IMT_Bragança,926,883,"76,67%",1128,1104,"66,67%",2054,1987,"71,11%"
IMT_Castelo Branco,3745,3533,"71,27%",3103,3026,"71,41%",6848,6559,"71,34%"
IMT_Coimbra,1936,1859,"66,27%",1640,1566,"83,01%",3576,3425,"73,93%"
IMT_Évora,3818,3194,"72,17%",4469,3591,"84,38%",8287,6785,"78,63%"
IMT_Faro,777,714,"74,51%",1031,892,"69,17%",1808,1606,"71,54%"
IMT_Guarda,789,684,"77,92%",977,932,"62,77%",1766,1616,"69,18%"
IMT_Leiria,1432,1337,"77,11%",1391,1317,"82,00%",2823,2654,"79,54%"
IMT_Lisboa,1608,1521,"67,78%",1408,1359,"87,20%",3016,2880,"76,94%"
IMT_Lisboa_SMA,849,771,"68,61%",643,586,"85,67%",1492,1357,"75,98%"
IMT_Portalegre,1891,1658,"64,72%",1119,1086,"77,72%",3010,2744,"69,86%"
IMT_Porto,3809,3451,"76,59%",3368,2931,"89,70%",7177,6382,"82,61%"
IMT_Santarem,2224,2076,"77,02%",1850,1758,"77,82%",4074,3834,"77,39%"
IMT_Setubal,2162,1933,"72,94%",2294,2113,"60,86%",4456,4046,"66,63%"
IMT_Viana do Castelo,2623,2414,"75,48%",2609,2312,"65,87%",5232,4726,"70,78%"
IMT_Vila Real,1897,1679,"70,94%",1477,1357,"84,08%",3374,3036,"76,81%"
IMT_Vila Real_Chaves,1346,1296,"64,35%",1461,1292,"54,64%",2807,2588,"59,51%"
IMT_Viseu,5297,4537,"76,33%",6329,5213,"59,08%",11626,9750,"67,11%"
Total Geral,189918,175301,"72,17%",191123,177933,"68,21%",381041,353234,"70,18%"
