Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
N.o EC,Escola de Condução,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
1,ESCOLA DE CONDUÇÃO AUTOMOVEL CLUB DE PORTUGAL,382,342,"80,12%",383,347,"68,01%",765,689,"74,02%"
2,ESCOLA DE CONDUÇÃO ACP,192,180,"78,89%",272,256,"60,94%",464,436,"68,35%"
5,ESCOLA DE CONDUÇÃO «A POPULAR»,64,59,"72,88%",67,66,"59,09%",131,125,"65,60%"
6,ESCOLA DE CONDUÇÃO AUTOMOVEIS MONUMENTAL,13,13,"84,62%",160,151,"53,64%",173,164,"56,10%"
7,ESCOLA DE CONDUÇÃO A DESPORTIVA - BOAVISTA,5,5,"80,00%",24,19,"78,95%",29,24,"79,17%"
8,ESCOLA DE CONDUÇÃO VITÓRIA,362,315,"64,44%",372,355,"49,86%",734,670,"56,72%"
9,ESCOLA DE CONDUÇÃO ENAL,nan,nan,nan,2,2,"100,00%",2,2,"100,00%"
10,ESCOLA DE CONDUÇÃO LUSITÂNIA DE AUTOMOBILSMO,117,110,"81,82%",221,198,"62,63%",338,308,"69,48%"
11,ESCOLA DE CONDUÇÃO RODAQUI,137,133,"72,18%",154,147,"77,55%",291,280,"75,00%"
12,ESCOLA DE CONDUÇÃO BASTOS,83,77,"72,73%",119,109,"51,38%",202,186,"60,22%"
13,ESCOLA DE CONDUÇÃO MORARTE,107,100,"86,00%",159,145,"53,79%",266,245,"66,94%"
14,ESCOLA DE CONDUÇÃO CARSIL,169,155,"83,87%",228,216,"76,85%",397,371,"79,78%"
15,ESCOLA DE CONDUÇÃO ESTRELA TORRIENSE,258,245,"75,10%",196,192,"69,27%",454,437,"72,54%"
16,ESCOLA DE CONDUÇÃO MODERNA,577,528,"78,79%",579,557,"52,96%",1156,1085,"65,53%"
