Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Categorias,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
A,11504,10626,"87,75%",11239,10486,"92,19%",22743,21112,"89,95%"
A1,8626,8099,"69,86%",6074,5678,"83,85%",14700,13777,"75,63%"
A2,5258,4864,"78,62%",4921,4482,"90,14%",10179,9346,"84,14%"
AM,71,64,"79,69%",45,41,"90,24%",116,105,"83,81%"
B,154751,142776,"70,06%",152025,141836,"63,37%",306776,284612,"66,73%"
B1,839,749,"70,23%",663,593,"81,62%",1502,1342,"75,26%"
BE,0,0,nan,219,188,"90,43%",219,188,"90,43%"
C,7615,7004,"87,91%",6928,6463,"85,04%",14543,13467,"86,53%"
CE,0,0,nan,5355,4928,"79,00%",5355,4928,"79,00%"
D,1180,1060,"87,26%",1202,1081,"84,92%",2382,2141,"86,08%"
D1,0,0,nan,1,1,"100,00%",1,1,"100,00%"
DE,0,0,nan,6,6,"100,00%",6,6,"100,00%"
G3,74,59,"44,07%",2445,2150,"93,67%",2519,2209,"92,35%"
Total Geral,189918,175301,"72,17%",191123,177933,"68,21%",381041,353234,"70,18%"
