Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Categorias,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
A,12 272,11 165,"86,84%",12 730,11 653,"91,99%",25 002,22 818,"89,47%"
A1,10 334,9 385,"64,74%",7 267,6 718,"83,37%",17 601,16 103,"72,51%"
A2,6 400,5 785,"75,21%",5 558,5 016,"89,15%",11 958,10 801,"81,69%"
AM,84,72,"84,72%",97,93,"73,12%",181,165,"78,18%"
B,176 445,158 150,"65,04%",161 005,146 583,"61,57%",337 450,304 733,"63,37%"
B1,876,786,"72,77%",744,665,"80,30%",1 620,1 451,"76,22%"
BE,0,0,nan,318,280,"84,29%",318,280,"84,29%"
C,8 153,7 374,"85,72%",7 432,6 822,"84,27%",15 585,14 196,"85,02%"
CE,0,0,nan,5 612,5 110,"77,32%",5 612,5 110,"77,32%"
D,841,757,"87,32%",819,732,"82,38%",1 660,1 489,"84,89%"
D1,4,2,"0,00%",0,0,nan,4,2,"0,00%"
G3,9,7,"14,29%",1 812,1 561,"92,57%",1 821,1 568,"92,22%"
T3,14,12,"41,67%",1 894,1 750,"94,57%",1 908,1 762,"94,21%"
Total Geral,215 432,193 495,"67,49%",205 288,186 983,"67,00%",420 720,380 478,"67,25%"
