Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Centro de Exames,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação
ACP_LISBOA,10 026,9 067,"65,19%",8 862,8 187,"64,25%",18 888,17 254,"64,74%"
ACP_PORTO,17 883,16 117,"69,68%",16 688,15 423,"53,02%",34 571,31 540,"61,53%"
AHBVT_FUNDÃO,1 873,1 727,"72,55%",2 485,2 235,"51,41%",4 358,3 962,"60,63%"
AHBVT_MIRANDELA,2 011,1 885,"68,54%",2 328,2 204,"62,30%",4 339,4 089,"65,17%"
AHBVT_PORTIMÃO,8 600,7 131,"54,80%",6 797,5 828,"56,16%",15 397,12 959,"55,41%"
AHBVT_TÁBUA,4 247,3 890,"69,69%",5 099,4 727,"71,25%",9 346,8 617,"70,55%"
ANIECA_ALBERGARIA-A-VELHA,10 058,9 096,"63,37%",9 807,8 835,"63,52%",19 865,17 931,"63,44%"
ANIECA_BARREIRO,15 327,13 710,"63,17%",12 221,11 055,"65,17%",27 548,24 765,"64,06%"
ANIECA_BRAGA,11 863,10 845,"70,94%",12 018,11 206,"68,34%",23 881,22 051,"69,62%"
ANIECA_LINDA-A-VELHA,16 258,14 544,"63,94%",12 691,11 425,"60,11%",28 949,25 969,"62,25%"
ANIECA_PENAFIEL,8 875,8 336,"65,61%",9 793,9 128,"62,60%",18 668,17 464,"64,03%"
ANIECA_PORTO DE MÓS,8 144,7 481,"63,99%",8 573,7 945,"60,83%",16 717,15 426,"62,36%"
APEC_LISBOA,21 901,19 628,"64,27%",21 671,20 003,"54,51%",43 572,39 631,"59,34%"
IMT_Aveiro,3 539,3 290,"63,28%",3 053,2 929,"66,34%",6 592,6 219,"64,72%"
IMT_Beja,1 742,1 661,"58,52%",1 234,1 183,"72,78%",2 976,2 844,"64,45%"
IMT_Braga,2 413,2 206,"66,68%",2 365,2 043,"84,43%",4 778,4 249,"75,22%"
IMT_Bragança,674,619,"66,07%",691,656,"68,14%",1 365,1 275,"67,14%"
IMT_Castelo Branco,396,378,"71,96%",590,567,"49,38%",986,945,"58,41%"
IMT_Coimbra,3 151,2 758,"69,18%",2 833,2 481,"58,89%",5 984,5 239,"64,31%"
IMT_Évora,2 243,1 962,"57,54%",1 209,1 145,"73,62%",3 452,3 107,"63,47%"
IMT_Faro,1 867,1 729,"53,15%",1 451,1 405,"51,67%",3 318,3 134,"52,49%"
IMT_Guarda,701,682,"67,60%",799,782,"57,29%",1 500,1 464,"62,09%"
IMT_Leiria,1 000,926,"70,84%",1 115,1 064,"73,03%",2 115,1 990,"72,01%"
IMT_Lisboa,1 207,1 048,"59,35%",527,484,"61,78%",1 734,1 532,"60,12%"
IMT_Lisboa_SMA,1 176,1 067,"62,89%",716,667,"79,91%",1 892,1 734,"69,43%"
IMT_Portalegre,1 273,1 216,"63,40%",823,757,"77,54%",2 096,1 973,"68,83%"
