Unnamed: 0,Unnamed: 1,Provas Teóricas,Provas Práticas,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
N.o EC,Escola de Condução,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação
1,ESCOLA DE CONDUÇÃO AUTOMOVEL CLUB DE PORTUGAL,384,327,"79,82%",363,328,"65,85%",747,655,"72,82%"
2,ESCOLA DE CONDUÇÃO ACP,214,201,"76,12%",177,170,"74,12%",391,371,"75,20%"
5,ESCOLA DE CONDUÇÃO «A POPULAR»,87,80,"68,75%",72,64,"64,06%",159,144,"66,67%"
6,ESCOLA DE CONDUÇÃO AUTOMOVEIS MONUMENTAL,0,0,nan,18,12,"16,67%",18,12,"16,67%"
8,ESCOLA DE CONDUÇÃO VITÓRIA,349,302,"53,97%",244,217,"62,67%",593,519,"57,61%"
10,ESCOLA DE CONDUÇÃO LUSITÂNIA DE AUTOMOBILSMO,137,129,"81,40%",128,115,"52,17%",265,244,"67,62%"
11,ESCOLA DE CONDUÇÃO RODAQUI,233,215,"54,88%",151,145,"82,07%",384,360,"65,83%"
12,ESCOLA DE CONDUÇÃO BASTOS,116,110,"78,18%",133,125,"48,00%",249,235,"62,13%"
13,ESCOLA DE CONDUÇÃO MORARTE,156,140,"83,57%",223,201,"54,73%",379,341,"66,57%"
14,ESCOLA DE CONDUÇÃO CARSIL,217,199,"78,89%",267,237,"76,37%",484,436,"77,52%"
15,ESCOLA DE CONDUÇÃO ESTRELA TORRIENSE,356,335,"68,66%",255,236,"83,90%",611,571,"74,96%"
16,ESCOLA DE CONDUÇÃO MODERNA,560,506,"73,12%",620,584,"55,99%",1 180,1 090,"63,94%"
17,ESCOLA DE CONDUÇÃO HUGO VIEIRA,477,412,"80,83%",467,436,"65,60%",944,848,"73,00%"
19,ESCOLA DE CONDUÇÃO E P CAMPOS,216,199,"73,87%",221,193,"63,21%",437,392,"68,62%"
20,ESCOLA DE CONDUÇÃO OURIENSE,262,224,"75,89%",319,300,"69,67%",581,524,"72,33%"
21,ESCOLA DE CONDUÇÃO SÃO CRISTÓVÃO,332,297,"77,44%",332,292,"71,23%",664,589,"74,36%"
22,ESCOLA DE CONDUÇÃO M M OURESSA,315,273,"65,93%",279,249,"69,88%",594,522,"67,82%"
24,ESCOLA DE CONDUÇÃO DOKAS,501,471,"70,49%",590,547,"52,29%",1 091,1 018,"60,71%"
25,ESCOLA DE CONDUÇÃO M SILVA,154,147,"53,06%",138,128,"65,63%",292,275,"58,91%"
