year,age,AT,RT
2015,16,0.6809,0.3191
2015,17,0.8247,0.1753
2015,18,0.7319,0.2681
2015,19,0.6706,0.3294
2015,20,0.6464,0.3536
2015,21,0.6468,0.3532
2015,22,0.6465,0.3535
2015,23,0.6577,0.3423
2015,24,0.6608,0.3392
2015,25,0.6623,0.3377
2015,26,0.6654,0.3346
2015,27,0.6760,0.3240
2015,28,0.6746,0.3254
2015,29,0.6792,0.3208
2015,30,0.6882,0.3118
2015,31,0.6714,0.3286
2015,32,0.6923,0.3077
2015,33,0.6954,0.3046
2015,34,0.6803,0.3197
2015,35,0.6751,0.3249
2015,36,0.6677,0.3323
2015,37,0.6691,0.3309
2015,38,0.6564,0.3436
2015,39,0.6557,0.3443
2015,40,0.6583,0.3417
2015,41,0.6259,0.3741
2015,42,0.6444,0.3556
2015,43,0.6469,0.3531
2015,44,0.6206,0.3794
2015,45,0.6298,0.3702
2015,46,0.6094,0.3906
2015,47,0.5702,0.4298
2015,48,0.5594,0.4406
2015,49,0.5664,0.4336
2015,50,0.5635,0.4365
2015,51,0.5362,0.4638
2015,52,0.5515,0.4485
2015,53,0.4796,0.5204
2015,54,0.4798,0.5202
2015,55,0.4740,0.5260
2015,56,0.4723,0.5277
2015,57,0.4275,0.5725
2015,58,0.3873,0.6127
2015,59,0.4667,0.5333
2015,60,0.3802,0.6198
2015,61,0.3630,0.6370
2015,62,0.3365,0.6635
2015,63,0.3750,0.6250
2015,64,0.3913,0.6087
2015,65,0.3933,0.6067
2015,66,0.3968,0.6032
2015,67,0.3600,0.6400
2015,68,0.4412,0.5588
2015,69,0.4773,0.5227
2015,70,0.3030,0.6970
2015,71,0.4000,0.6000
2015,72,0.4118,0.5882
2015,73,0.4286,0.5714
2015,74,0.2000,0.8000
2015,75,0.0909,0.9091
2015,76,0.4286,0.5714
2015,77,0.0000,1.0000
2015,78,0.6000,0.4000
2015,79,0.0000,1.0000
2016,16,0.7042,0.2958
2016,17,0.6593,0.3407
2016,18,0.4366,0.5634
2016,19,0.3394,0.6606
2016,20,0.3359,0.6641
2016,21,0.3629,0.6371
2016,22,0.3536,0.6464
2016,23,0.3546,0.6454
2016,24,0.4064,0.5936
2016,25,0.4182,0.5818
2016,26,0.4255,0.5745
2016,27,0.4338,0.5662
2016,28,0.4399,0.5601
2016,29,0.457,0.543
2016,30,0.4682,0.5318
2016,31,0.4763,0.5237
2016,32,0.4535,0.5465
2016,33,0.4596,0.5404
2016,34,0.4779,0.5221
2016,35,0.4619,0.5381
2016,36,0.4847,0.5153
2016,37,0.4748,0.5252
2016,38,0.4845,0.5155
2016,39,0.489,0.511
2016,40,0.4502,0.5498
2016,41,0.4485,0.5515
2016,42,0.4815,0.5185
2016,43,0.4881,0.5119
2016,44,0.4649,0.5351
2016,45,0.4755,0.5245
2016,46,0.4131,0.5869
2016,47,0.4529,0.5471
2016,48,0.4169,0.5831
2016,49,0.4099,0.5901
2016,50,0.3926,0.6074
2016,51,0.3885,0.6115
2016,52,0.3256,0.6744
2016,53,0.3451,0.6549
2016,54,0.3634,0.6366
2016,55,0.2995,0.7005
2016,56,0.3529,0.6471
2016,57,0.3042,0.6958
2016,58,0.2351,0.7649
2016,59,0.3046,0.6954
2016,60,0.2688,0.7312
2016,61,0.2393,0.7607
2016,62,0.2344,0.7656
2016,63,0.2807,0.7193
2016,64,0.2087,0.7913
2016,65,0.2778,0.7222
2016,66,0.2381,0.7619
2016,67,0.2162,0.7838
2016,68,0.2264,0.7736
2016,69,0.2766,0.7234
2016,70,0.36,0.64
2016,71,0.4333,0.5667
2016,72,0.2273,0.7727
2016,73,0.3529,0.6471
2016,74,0.75,0.25
2016,75,0.3571,0.6429
2016,76,0.4,0.6
2016,77,0.0625,0.9375
2016,78,0.0769,0.9231
2016,79,0.6,0.4
2016,80,1.0,0.0
2017,16,0.8723,0.1277
2017,17,0.8418,0.1582
2017,18,0.7536,0.2464
2017,19,0.6875,0.3125
2017,20,0.6592,0.3408
2017,21,0.6661,0.3339
2017,22,0.6676,0.3324
2017,23,0.6565,0.3435
2017,24,0.6838,0.3162
2017,25,0.6898,0.3102
2017,26,0.6823,0.3177
