year,examcenter,TA,PA,SA
2015,ACP - LISBOA,0.7153,0.7513,0.7331
2015,ACP - PORTO,0.7512,0.7225,0.7369
2015,AHBVT - Fundão,0.7696,0.6086,0.6781
2015,AHBVT - Mirandela,0.6906,0.6669,0.6779
2015,AHBVT - Portimão,0.6683,0.6285,0.6481
2015,AHBVT - Tábua,0.7537,0.7749,0.7646
2015,ANIECA  - Albergaria a Velha,0.7102,0.7138,0.712
2015,ANIECA - Barreiro,0.7079,0.7089,0.7084
2015,ANIECA - Linda a Velha,0.6844,0.7257,0.7031
2015,ANIECA - Penafiel,0.7118,0.6248,0.665
2015,ANIECA - Porto de Mós,0.7084,0.6712,0.688
2015,ANIECA - Vila Verde,0.7084,0.6812,0.6942
2015,APEC - Lisboa,0.7077,0.6281,0.6671
2015,IMT Aveiro,0.7385,0.6928,0.7152
2015,IMT Beja,0.7034,0.7448,0.7244
2015,IMT Braga,0.7363,0.8241,0.7784
2015,IMT Bragança,0.7465,0.6466,0.6955
2015,IMT Castelo Branco,0.7632,0.5505,0.6428
2015,IMT Coimbra,0.7687,0.7047,0.7356
2015,IMT Évora,0.7025,0.7201,0.7112
2015,IMT Faro,0.6322,0.5976,0.6152
2015,IMT Guarda,0.727,0.6084,0.6607
2015,IMT Leiria,0.7216,0.8074,0.7594
2015,IMT Lisboa,0.7159,0.7064,0.7113
2015,IMT Lisboa - Sobral de Monte Agraço,0.7035,0.8761,0.7853
2015,IMT Portalegre,0.7183,0.885,0.7962
2015,IMT Porto,0.7277,0.7439,0.7363
2015,IMT Santarém,0.7021,0.7337,0.718
2015,IMT Setúbal,0.6825,0.6387,0.6607
2015,IMT Viana do Castelo,0.7248,0.8506,0.7866
2015,IMT Vila Real,0.717,0.6953,0.7059
2015,IMT Vila Real-Chaves,0.7047,0.7659,0.7351
2015,IMT Viseu,0.7463,0.5621,0.6409
2016,ACP - LISBOA,0.72,0.7736,0.747
2016,ACP - PORTO,0.7567,0.6556,0.7015
2016,AHBVT - Fundão,0.751,0.5871,0.6551
